2026-08-23T11:31:30Z 563680848000 | shards=0 | sums=no | procs=6 | {"name":"model.layers.34.router_bias","entry":{"offset":563680848000,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T11:36:31Z 563680848000 | shards=0 | sums=no | procs=6 | {"name":"model.layers.34.router_bias","entry":{"offset":563680848000,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T11:41:31Z 580348166784 | shards=0 | sums=no | procs=6 | {"name":"model.layers.35.router_bias","entry":{"offset":580348166784,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T11:46:32Z 580348166784 | shards=0 | sums=no | procs=6 | {"name":"model.layers.35.router_bias","entry":{"offset":580348166784,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T11:51:33Z 597338230784 | shards=0 | sums=no | procs=6 | {"name":"model.layers.36.router_bias","entry":{"offset":597338230784,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T11:56:33Z 597338230784 | shards=0 | sums=no | procs=6 | {"name":"model.layers.36.router_bias","entry":{"offset":597338230784,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T12:01:33Z 614328294784 | shards=0 | sums=no | procs=6 | {"name":"model.layers.37.router_bias","entry":{"offset":614328294784,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T12:06:34Z 631318358784 | shards=0 | sums=no | procs=6 | {"name":"model.layers.38.router_bias","entry":{"offset":631318358784,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T12:11:34Z 631318358784 | shards=0 | sums=no | procs=6 | {"name":"model.layers.38.router_bias","entry":{"offset":631318358784,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T12:16:35Z 647985677568 | shards=0 | sums=no | procs=6 | {"name":"model.layers.39.router_bias","entry":{"offset":647985677568,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T12:21:35Z 647985677568 | shards=0 | sums=no | procs=6 | {"name":"model.layers.39.router_bias","entry":{"offset":647985677568,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T12:26:36Z 664975741568 | shards=0 | sums=no | procs=6 | {"name":"model.layers.40.router_bias","entry":{"offset":664975741568,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T12:31:36Z 664975741568 | shards=0 | sums=no | procs=6 | {"name":"model.layers.40.router_bias","entry":{"offset":664975741568,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
2026-08-23T12:36:36Z 681965805568 | shards=0 | sums=no | procs=6 | {"name":"model.layers.41.router_bias","entry":{"offset":681965805568,"bytes":3584,"align":128,"kind":"f32","shape":[896] fleet_up=0
